Image,Category,Width (p),Heigth (p),Filesize (b),Amount of pixels (p),Bitrate (bpp)
wintertrees,Real-life,1024,1024,807290,1048576,6.1591
autumntrees,Real-life,1536,1024,1469590,1572864,7.4747
sunset,Real-life,1392,1044,745703,1453248,4.1050
poolballs,Real-life,2048,1395,612246,2856960,1.7144
umbrella,Real-life,2048,1246,938553,2551808,2.9424
plane,Real-life,870,1160,712737,1009200,5.6499
nightshot,Real-life,1568,1176,1055249,1843968,4.5782
culturalcentre,Real-life,1670,1253,1162019,2092510,4.4426
randomimage,Non-real,640,320,123449,204800,4.8222
gradient,Non-real,800,600,168763,480000,2.8127
lipsum,Non-real,841,447,371117,375927,7.8976
dragon,Non-real,900,720,169674,648000,2.0947
face,Non-real,1024,791,192007,809984,1.8964
rays,Non-real,1200,1200,1010142,1440000,5.6119
ducks,Real-life,1536,1024,1118368,1572864,5.6883
